#,Protocol,VIP檔案,大小,來源Bundle,Checkers,狀態,下載路徑,License
1,AHB,AHB-VIP.zip,8KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
2,APB,APB-VIP.zip,8KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
3,AXI4-Lite,AXILite-VIP.zip,12KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
4,AXI4,AXI4-VIP.zip,14KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
5,ACE,ACE-VIP.zip,16KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
6,ACE-Lite,ACELite-VIP.zip,15KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
7,CHI,CHI-VIP.zip,20KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
8,AXI-Stream,AXIS-VIP.zip,10KB,AMBA-VIP.zip,1,✅,...,Apache-2.0
9,ATB,ATB-VIP.zip,8KB,CoreSight-VIP.zip,1,✅,...,Apache-2.0
10,WTB,WTB-VIP.zip,8KB,CoreSight-VIP.zip,1,✅,...,Apache-2.0
11,OCP,OCP-VIP.zip,9KB,OCP-VIP.zip,1,✅,...,Apache-2.0
12,Avalon-MM,AvalonMM-VIP.zip,10KB,Avalon-VIP.zip,1,✅,...,Apache-2.0
13,Avalon-ST,AvalonST-VIP.zip,9KB,Avalon-VIP.zip,1,✅,...,Apache-2.0
14,Wishbone,Wishbone-VIP.zip,9KB,Wishbone-VIP.zip,1,✅,...,Apache-2.0
15,I2C,I2C-VIP.zip,9KB,I2C-VIP.zip,1,✅,...,Apache-2.0
16,I3C,I3C-VIP.zip,10KB,I3C-VIP.zip,1,✅,...,Apache-2.0
17,RFFE,RFFE-VIP.zip,8KB,MIPI-VIP.zip,1,✅,...,Apache-2.0
18,SPMI,SPMI-VIP.zip,8KB,MIPI-VIP.zip,1,✅,...,Apache-2.0
19,SPI,SPI-VIP.zip,9KB,SPI-VIP.zip,1,✅,...,Apache-2.0
20,QSPI,QSPI-VIP.zip,10KB,SPI-VIP.zip,1,✅,...,Apache-2.0
21,UART,UART-VIP.zip,9KB,UART-VIP.zip,1,✅,...,Apache-2.0
22,JTAG,JTAG-VIP.zip,9KB,JTAG-VIP.zip,1,✅,...,Apache-2.0
23,CAN,CAN-VIP.zip,9KB,CAN-VIP.zip,1,✅,...,Apache-2.0
24,MDIO,MDIO-VIP.zip,8KB,ETH-VIP.zip,1,✅,...,Apache-2.0
25,RGMII,RGMII-VIP.zip,10KB,ETH-VIP.zip,1,✅,...,Apache-2.0
26,GMII,GMII-VIP.zip,10KB,ETH-VIP.zip,1,✅,...,Apache-2.0
27,XGMII,XGMII-VIP.zip,11KB,ETH-VIP.zip,1,✅,...,Apache-2.0
28,SDIO,SDIO-VIP.zip,10KB,SDIO-VIP.zip,1,✅,...,Apache-2.0
29,eMMC,eMMC-VIP.zip,11KB,eMMC-VIP.zip,1,✅,...,Apache-2.0
30,DDR4,DDR4-VIP.zip,30KB,DDR-VIP.zip,1,✅,...,Apache-2.0
30b,DDR5,DDR5-VIP.zip,32KB,DDR-VIP.zip,1,✅,...,Apache-2.0
30c,DDR6,DDR6-VIP.zip,34KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31,LPDDR4,LPDDR4-VIP.zip,30KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31b,LPDDR5,LPDDR5-VIP.zip,32KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31c,LPDDR5X,LPDDR5X-VIP.zip,33KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31d,LPDDR6,LPDDR6-VIP.zip,35KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31e,HBM,HBM-VIP.zip,40KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31g,HBM3,HBM3-VIP.zip,42KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31h,HBM3E,HBM3E-VIP.zip,42KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31i,HBM4,HBM4-VIP.zip,44KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31l,HBM5,HBM5-VIP.zip,46KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31f,GDDR6,GDDR6-VIP.zip,36KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31j,GDDR5,GDDR5-VIP.zip,34KB,DDR-VIP.zip,1,✅,...,Apache-2.0
31k,GDDR7,GDDR7-VIP.zip,38KB,DDR-VIP.zip,1,✅,...,Apache-2.0
32,I2S,I2S-VIP.zip,8KB,Audio-VIP.zip,1,✅,...,Apache-2.0
33,PWM,PWM-VIP.zip,7KB,Audio-VIP.zip,1,✅,...,Apache-2.0
34,GPIO,GPIO-VIP.zip,7KB,GPIO-VIP.zip,1,✅,...,Apache-2.0
35,1-Wire,OneWire-VIP.zip,7KB,OneWire-VIP.zip,1,✅,...,Apache-2.0
36,USB2.0,USB20-VIP.zip,20KB,USB-VIP.zip,1,✅,...,Apache-2.0
37,USB3.2,USB32-VIP.zip,40KB,USB-VIP.zip,1,✅,...,Apache-2.0
38,PCIe,PCIe-VIP.zip,50KB,PCIe-VIP.zip,1,✅,...,Apache-2.0
39,CXL,CXL-VIP.zip,45KB,CXL-VIP.zip,1,✅,...,Apache-2.0
40,SATA,SATA-VIP.zip,25KB,SATA-VIP.zip,1,✅,...,Apache-2.0
41,SAS,SAS-VIP.zip,28KB,SAS-VIP.zip,1,✅,...,Apache-2.0
42,UFS,UFS-VIP.zip,35KB,UFS-VIP.zip,1,✅,...,Apache-2.0
43,eUSB2,eUSB2-VIP.zip,28KB,USB-VIP.zip,1,✅,...,Apache-2.0
