#,Protocol,VIP檔案,大小,來源Bundle,Checkers,狀態,下載路徑,License
1,CXL,CXL-VIP.zip,33KB,PCIE-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CXL-VIP.zip,Apache-2.0
2,PCIe,PCIe-VIP.zip,34KB,PCIE-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/PCIe-VIP.zip,Apache-2.0
3,UCIe,UCIe-VIP.zip,33KB,PCIE-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UCIe-VIP.zip,Apache-2.0
4,UALink,UALink-VIP.zip,33KB,PCIE-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UALink-VIP.zip,Apache-2.0
5,Ethernet,Ethernet-VIP.zip,33KB,NET-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/Ethernet-VIP.zip,Apache-2.0
6,FC,FC-VIP.zip,29KB,NET-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/FC-VIP.zip,Apache-2.0
7,UEC,UEC-VIP.zip,29KB,NET-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UEC-VIP.zip,Apache-2.0
8,USB,USB-VIP.zip,36KB,USB-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB-VIP.zip,Apache-2.0
9,USB-PD,USB_PD-VIP.zip,28KB,USB-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB_PD-VIP.zip,Apache-2.0
10,USB2,USB2-VIP.zip,28KB,USB-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB2-VIP.zip,Apache-2.0
11,USB3,USB3-VIP.zip,28KB,USB-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB3-VIP.zip,Apache-2.0
12,USB4,USB4-VIP.zip,27KB,USB-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB4-VIP.zip,Apache-2.0
13,eUSB2,eUSB2-VIP.zip,28KB,USB-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/eUSB2-VIP.zip,Apache-2.0
14,AHB,AHB-VIP.zip,8KB,AMBA-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/AHB-VIP.zip,Apache-2.0
15,APB,APB-VIP.zip,8KB,AMBA-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/APB-VIP.zip,Apache-2.0
16,AXI,AXI-VIP.zip,8KB,AMBA-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/AXI-VIP.zip,Apache-2.0
17,DDR,DDR-VIP.zip,19KB,MEMORY-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DDR-VIP.zip,Apache-2.0
18,DDR5,ddr5-VIP.zip,9KB,NEW,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ddr5-VIP.zip,Apache-2.0
19,DDR6,ddr6-VIP.zip,9KB,NEW,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ddr6-VIP.zip,Apache-2.0
20,HBM,HBM-VIP.zip,18KB,MEMORY-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/HBM-VIP.zip,Apache-2.0
21,LPDDR,LPDDR-VIP.zip,18KB,MEMORY-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/LPDDR-VIP.zip,Apache-2.0
22,LPDDR5,lpddr5-VIP.zip,9KB,NEW,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr5-VIP.zip,Apache-2.0
23,LPDDR5X,lpddr5x-VIP.zip,9KB,NEW,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr5x-VIP.zip,Apache-2.0
24,LPDDR6,lpddr6-VIP.zip,9KB,NEW,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr6-VIP.zip,Apache-2.0
25,ONFI,ONFI-VIP.zip,18KB,MEMORY-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ONFI-VIP.zip,Apache-2.0
26,SD,SD-VIP.zip,18KB,MEMORY-VIP.zip,v1.5.0,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SD-VIP.zip,Apache-2.0
